"Read Messages","Mensajes Leídos"
"Health Issue Diaries","Diarios de Asuntos de Salud"
"Sufficient Breastfeeding Entries","Lactancia suficiente entradas"
"I thought there was too much inconsistency in this system","No tiene sentido el sistema"
"Age","Edad"
"Yes, all the time","Sí, todo el tiempo"
"Breastfeeding was physically draining.","Me cansó mucho dar el pecho"
"My baby loved to nurse.","A mi bebé le encantaba amamantar."
"I would imagine that most people would learn to use this system quickly","Me imagino que la mayoría de las personas aprenderían a usar este sistema rápidamente"
"Output Diary","Diario de Producción"
"Breastfeeing and returning to work","Breastfeeing y el regreso al trabajo"
"Sore nipple","Pezón irritado"
"Please contact the lactation consultant.","Por favor contacte al especialista en lactancia."
"Change Password","Cambiar Contraseña"
"Self Efficacy","Autoeficacia"
"Breastfeeding Self-Efficacy Scale - Short Form","Escala de Confianza Sobre la Lactancia Materna"
"Health Issues Diary","Diario de Asuntos de Salud"
"Partial breastfeeding, High: 50-80%% breastfeeding","Lactancia Materna parcial, Alta: 50-80%% amamantamiento"
"and by","y por"
"Download","Bajar"
"Yes, some of the time","Sí, parte del tiempo"
"Breastfeeding made me feel like a good mother.","El amamantar me hizo sentir como una buena madre."
"System Perception Survey Results","Resultados de Encuesta de Percepción del Sistema"
"Token breastfeeding (&lt;20%% breastfeeding, breastfeed for comfort)","lactancia materna afectiva (ofrece el pecho para dar consuelo)"
"Back to login page","Regresar a página de entrada"
"No breastfeeding entries for date range","No hay datos de amamantamiento para el rango de fechas"
"Not answered","Sin respuesta"
"Modify","Modificar"
"In the past 7 days","En los últimos 7 días"
"I can always manage to breastfeed even if my baby is crying.","Siempre puedo manejar la situación de amamantar aún si mi bebé está llorando ."
"You have recently experienced sore nipples. Please try the following","Usted ha experimentado recientemente pezones irritados. Por favor intente lo siguiente"
"Health","Salud"
"View / Edit Child Information","Ver/Editar Información del Bebé"
"Please enter urine color","Por favor entre el color de la orina"
"Please enter latching information.","Por favor entre información de acoplamiento."
"Contact your primary care provider.","Contacte a su proveedor de cuidado médico."
"Health Issues","Asuntos de Salud"
"My baby is Jaundiced","Mi bebé está amarillo"
"August","Agosto"
"Partial breastfeeding, Medium: 50% breastfeeding","Lactancia Materna parcial, Media: 50% amamantamiento"
"Appropiateness for gestational age","Tamaño apropiado para edad gestacional"
"June","Junio"
"We are very excited that you have decided to join this experiment. We hope that we can help you secure your baby's current and future health by using our monitoring system.","Estamos muy contentos de que usted haya decidido participar en este experimento.Esperamos poder ayudarle en asegurar la salud presente y futura de su bebé a través del uso de nuestro sistema de monitoreo."
"Pattern of breastfeeding (How did you breastfeed your baby in the last 7 days)","Patrón de amamantamiento (¿Cómo amamantó a su bebé en los últimos 7 días?"
"Do you think the system helped you to breastfeed longer?","¿Cree que el sistema le ayudó a aumentar la duración de amamantar?"
"Infant Weight Diary","Diario de Peso del Bebé"
"No, most of the time I have coped quite well","No, la mayoría del tiempo he podido enfrentar las cosas bien "
"While breastfeeding, I worried about my baby gaining enough weight.","Mientras amamantaba, estaba preocupada de que mi bebé ganara suficiente peso."
"October","Octubre"
"View / Edit Mother Information","Ver/Editar Información de la Madre"
"No, I have been coping as well as ever","No, la mayoría del tiempo he podido enfrentar las cosas tan bien como antes"
"Hospital Administrator","Administrador del Hospital"
"Please enter infant alertness.","Por favor entre estado de alerta del bebé."
"Bottle","Biberón"
"Stool Color","Color de la popó"
"Agree","Estoy de acuerdo"
"Strongly<br />Disagree","Estoy totalmente en desacuerdo"
"Child Info","Información del Bebé"
"Date &amp; Time","Fecha y Hora"
"Not at all<br />Confident","Para nada <br />segura"
"My baby wasn't interested in breastfeeding.","Mi bebé no estaba interesado en amamantar."
"As much as I always could","Tanto como siempre he podido"
"Contact local lactation consultant for help.","Contacte al especialista en lactancia para ayuda."
"Mother Log In","Entrada de la Madre"
"Again, we would like to thank you for using our system. We hope you enjoy it.","De nuevo, nos gustaría agradecerle por usar nuestro sistema. Esperamos lo disfrute."
"Urine Color","Color de orina"
"Insufficient Breastfeeding Entries","Lactancia insuficiente entradas"
"Apply cold packs to the breasts after feeding to help reduce swelling, warmth, and pain.","Aplica compresas frías a los senos después de la alimentación para ayudar a reducir la hinchazón, calor y dolor."
"Ethnicity","Etnicidad"
"Hand Pump","Bomba de Mano"
"While breastfeeding, I felt self-conscious about my body.","Mientras amamantaba, estaba muy consciente de mi cuerpo."
"Compose","Escribe"
"for the selected users","para los usuarios seleccionados"
"Mastitis","Mastitis"
"Date Range","Rango de fechas"
"No output entries for date range","No hay datos de producción  para el rango de fechas"
"Indicate your agreement or disagreement with each statement by selecting the best answer.","Indique su acuerdo o desacuerdo con cada afirmación seleccionando la mejor respuesta."
"More than","Más que "
"Read by User","Leído por el usuario"
"Breastfeed Diary","Diario de Lactancia"
"5-10 Minutes","5-10 Minutos"
"Yes, most of the time","Sí, la mayoría del tiempo"
"Remove Hospital","Eliminar Hospital"
"Self-efficacy Survey Results","Resultados de Encuesta de Evaluación de Autoeficacia"
"Strongly Disagree","Estoy en fuerte desacuerdo"
"Yes, quite a lot","Sí, bastante"
"Frequency of breast milk expression","Veces al dia que se saca la leche"
"Flat/inverted nipple","Pezón plano/invertido"
"Log Out","Salir"
"Manage Users","Manejar Usuarios"
"Add Child Information","Agregar información del Bebé"
"Insufficient Breastfeeding","Lactancia insuficiente"
"Lactor Mobile","Lactor móvil"
"No problems","Sin problemas"
"I have blamed myself unnecessarily when things went wrong","Me he culpado sin necesidad cuando las cosas han salido mal"
"3-4 times","3-4 veces"
"View Security/Privacy Information","Ver Información De Seguridad Y Privacidada"
"View","Ver"
"All","Todos"
"Current Notifications","Notificaciones actuales"
"Infant Weight","Peso del Bebé"
"My baby gained weight really well with breast milk.","Mi bebé ganó buen peso con leche materna."
"Results","Resultados"
"Do you think the monitoring helped you to decrease supplementation with any substance other than breast milk?","¿Cree que el monitoreo le ayudó a disminuir la suplementación con sustancias diferentes a leche materna?"
"Pumping entry added successfully","Dato de extracción agregado exitosamente"
"Add User","Agregar Usuario"
"Bleeding during pregnancy","Hemorragia durante embarazo"
"No past breastfeeding experience","No pasado experiencia de lactancia"
"> 15 Minutes","> 15 Minutos"
"In the beginning, my baby had trouble breastfeeding.","En el comienzo, mi bebé tuvo problemas amamantando."
"Personal / Contact Information","Información Personal / de Contacto"
"View/Edit Mother Info","Ver/Editar Información de la Madre"
"Yes, sometimes I haven't been coping as well","Sí, algunas veces no he podido hacer frente a las cosas tan bien"
"Breastfeeding was a very nurturing, maternal experience.","El amamantar fué una experiencia maternal muy enriquecedora."
"Entry Not Found","Entrada no encontrada"
"Hospital Management","Director del Hospital"
"Breastfeeding Evaluation Survey Results","Resultados de Encuesta de Evaluación del Amamantamiento"
"I can always breastfeed my baby without first using formula as a supplement.","Siempre puedo amamantar a mi bebé sin usar primero la fórmula como suplemento."
"Was the web-based breastfeeding monitoring helpful in recognizing your baby's breastfeeding problems?","¿Fué el sistema sistema en-línea de monitoreo de lactancia materna útil para reconocer los problemas para amamantar?"
"Supplement Entry","Entrada de Suplemento"
"NOTE: Please add different entries for different forms of output.","NOTA: Por favor agregue las direntes entradas para las diferentes formas de producción"
"Infant initials","Iniciales del Bebé"
"HouseIncome","Ingresos Familiares"
"Effective breastfeeding is from 8 to 12 times per day.","La lactancia materna eficaz es de 8 a 12 veces al día."
"Cup","Taza"
"Supplement entry not modified.","Entrada de Suplemento no modificada."
"Breastfeeding made me feel more confident as a mother.","El amamantar me hizo sentir más segura como madre."
"Log In","Entrar"
"Sufficient Output Entries","Exitosamente suficiente entradas"
"My baby was an eager breast feeder.","A mi bebé le gustó mucho tomar el pecho"
"Please enter number of doses","Por favor entre el número de veces"
"No data has been entered.","No se han entrado datos."
"Your records showed that you breastfed your baby less than 6 times last 24 hours. Please note the following","Su registro muestra que usted amamantó a su bebé menos de 6 veces en las últimas 24 horas. Por favor note lo siguiente"
"Things have been getting on top of me","No puedo con todo"
"Fields indicated with a (*) MUST be filled.","Todas las preguntas marcadas con  un (*) DEBEN ser completadas."
"Previous premature &lt; 37 weeks","Prematuro anterior &lt; 37 semanas"
"When your baby is born a little early","Cuando su bebé ha nacido temprano"
"Diary Query Values","Valores de Diario"
"Don't have enough milk","No tengo suficiente leche"
"Where is this information?","¿Dónde está ésta información?"
"Please fill out all the fields.","Por favor conteste todas las preguntas."
"Enable User","Activar Usuario"
"Indiana CTSI","CTSI Indiana"
"I can always comfortably breastfeed with my family members present.","Siempre puedo amamantar cómodamente con miembros de la familia presentes."
"I can always deal with the fact that breastfeeding can be time consuming.","Siempre puedo manejar el que amamantar se lleve tiempo."
"Yellow","Amarillo"
"I can always tell when my baby is finished breastfeeding.","Siempre puedo determinar cuando mi bebé ha terminado de amamantar."
"Please enter pumping amount.","Por favor entre cantidad de extracción."
"My_Baby_is_Jaundiced.pdf","My_baby_is_jaundiced_es.pdf"
"From","De"
"Disable User","Desactivar Usuario"
"Please enter breastfeeding maternal problems.","Por favor entre problemas para amamantar maternos."
"Ounces","Onzas"
"I have been able to laugh and see the funny side of things","He podido reirme y ver el lado chistoso de las cosas"
"Wake the baby every 3 hours.","Despierte al bebé cada 3 horas."
"Breastfeeding was emotionally draining.","El amamantar fué emocionalmente agotador."
"Issue Mother Information","Expedir Información de la Madre"
"Crying","Lloroso"
"Type","Tipo"
"You have recently experienced difficulty with your baby latching. Please do the following","Usted ha experimentado recientemente dificultad con el acoplamiento de su bebé. Por favor haga lo siguiente"
"More","Más"
"Breastfeeding entry updated.","Entrada de amamantamiento actualizada."
"Report any decrease in wet and dirty diapers.","Reporte cualquier disminución en pañales mojados y sucios."
"While breastfeeding, my baby's growth was excellent.","Durante la lactancia, el crecimiento de mi bebé fué excelente."
"Black/tarry meconium","Meconio negro/sanguinolento"
"I think that I would need the support of a technical person to use this system","Creo que necesitaría el apoyo de una persona técnica para usar este sistema"
"Cereal","Cereal"
"Previous antepartum hemorrahage","Hemorrahage antes del parto anterior"
"Sleep Problem","Problema de Sueño"
"See Notifications","Ver Notificaciones"
"Latching","Acoplamiento"
"Sometimes","Algunas veces"
"Baby Sleepy","Bebé somnoliento"
"Send self-efficacy survey","Enviar encuesta de confianza"
"User Type","Tipo de Usuario"
"Log in","Iniciar la sesión"
"Provide jaw support during feeding.","Provea apoyo para la mandíbula durante la alimentación."
"Breastfeeding felt wonderful to me.","El amamantar fué maravilloso para mi."
"Parity","Número de Partos"
"ATTENTION: Mistakes in this page cannot be reverted once submitted.","ATENCION: Una vez enviada ésta página no se puede cambiar la información."
"Yes, sometimes","Sí, a veces"
"September","Septiembre"
"Choose one","Escoja uno"
"I have been so unhappy that I have been crying","He estado tan triste que he estado llorando"
"logo.png","logo_es.png"
"Things have been geting on top of me","No puedo con todo"
"times","veces"
"Past","Pasado"
"PROM","Ruptura prematura de membrana"
"You have recently experienced breast engorgement. Please try the following","Usted ha experimentado congestión mamaria recientemente. Por favor intente lo siguiente"
"Pumping Amount","Cantidad de Extracción"
"Loose and seedy","Suelto y granuloso"
"Express colostrum or milk onto your nipples before and after feedings.","Exprese calostro  o leche en sus pezones antes y después de las alimentaciones."
"The fact that I could produce the food to feed my own baby was very satisfying.","El hecho de que hubiera podido producir el alimento para mi bebé fué muy satisfactorio."
"Was the data entry time consuming? Do you have any suggestions?","¿Le llevó mucho tiempo meter la información en el sistema? ¿Tiene algunas sugerencias?"
"Hardly at all","Para nada"
"An error occurred when attempting to update your entry<br />","Un error ha ocurrido mientras ha tratado de actualizar su entrada"
"Managing your milk supply","Manejando su reserva de leche"
"No notifications entries for date range","No hay datos de Notificaciones para el rango de fechas"
"2 ounces","2 onzas"
"It was important to me to be able to nurse.","Era importante para mi el poder amamantar."
"Postnatal Depression","Depresión después del parto"
"Vary nursing positions, so the baby's positions on the breast are changed.","Cambie las posiciones de lactancia, de tal modo que las posiciones del bebé en la mama cambien"
"Your records showed that you are using nipple shields. Please note the following","Su registro muestra que usted está usando protectores de pezones . Por favor note lo siguiente"
"Total Amount","Cantidad Total  "
"I found the various functions in this system were well integrated","El sistema está bien integrado"
"Time &amp; Day","Hora y Día"
"Welcome!","¡Bienvenida!"
"Lack or late prenatal care","Falta de o demora en cuidado prenatal"
"I have felty happy","Tengo Felty feliz"
"Date","Fecha"
"Please fill out all the fields","Por favor complete todas los espacios en blanco"
"Hospital","Hospital"
"Total Amount Today","Cantidad Total  Hoy"
"Search","Buscar"
"Read by Admin","Leído por el administrador"
"Add entry","Agregar entrada"
"Number Of Doses Today","Número total de veces el día de hoy"
"Output Entry","Información acerca las evacuaciones."
"You did a great job of entering your baby's output data today! Keep doing what you're doing!","¡Has hecho un gran trabajo de introducción de datos de salida de su bebé hoy! ¡Sigue haciendo lo que estás haciendo!"
"Please enter pumping method.","Por favor entre método de extracción."
"I can always manage to keep up with my baby's breastfeeding demands.","Siempre puedo manejar las demandas de lactancia de mi bebé."
"Please enter urine saturation","Por favor entre la cantidad de la orina que hay el pañal"
"I can always successfully cope with breastfeeding like I have with other challenging tasks.","Siempre puedo lograr con éxito amamantar como lo hago con otros retos."
"Sleepy baby","Bebé se duerme"
"Problem","Problema"
"Slightly wet","Un poco húmeda"
"Lactation Consultant","Especialista en Lactancia"
"Please enter breastfeeding duration","Por favor entre la duración de amamantamiento"
"Breastfeeding was a special time with my baby.","El amamantamiento fué un tiempo especial con mi bebé."
"Infant alertness must be entered.","Estado de alerta del bebé debe ser entrado."
"Gestational age","Edad Gestacional"
"Please enter breastfeeding infant alertness","Por favor entre el estado de alerta del bebé"
"How often do you give a supplemental feeding?","¿Cuántas veces al día le da otros alimentos a su bebé?"
"Feeding Cues","Indicaciones de alimentación"
"<3 months","<3 meses"
"Frequency","Frecuencia"
"You have successfully logged out","Usted ha salido exitosamente"
"While breastfeeding, I was anxious to have my body back.","Mientras amamantaba, estaba ansiosa de recuperar mi figura."
"Cancel","Cancelar"
"Do you think the system helped you to brestfeed longer? Explain.","¿Cree que el sistema le ayudó a aumentar la duración de lactancia? Explique"
"I have felt scared of panicky for no very good reason","He sentido miedo de pánico sin razón muy buena"
"Please enter breastfeeding latching","Por favor entre el acoplamiento de amamantamiento"
"If you breastfed more than one baby, base your answers on the most recent experience. Consider the overall breastfeeding experience, and please do not skip any questions.","Si usted amamantó a más de un bebé, base sus respuestas en la experiencia más reciente. Considere la experiencia general de lactancia, y por favor no se salte ninguna pregunta."
"Please enter number of diapers","Por favor entre el número de pañales"
"Enter your email address","Entrar su dirección de correo electrónico"
"Date of birth","Fecha de nacimiento"
"You have successfully logged out.","Usted ha salido exitosamente."
"Submit","Enviar"
"Error: No Suvery Results Avaliable","Error: No hay resultados disponibles Suvery"
"Current","Actual"
"Other","Otro"
"Infant alertness","Estado de alerta del bebé"
"Not at all","Para nada"
"Breastfeeding Evaluation","Evaluación de Amamantamiento"
"Causes of supplemental feeding","¿Por qué le da otros alimentos a su bebé además de leche materna?"
"Phone number","Número de Teléfono"
"Herbs","Té"
"Send breastfeeding evaluation","Enviar evaluación de amamantamiento"
"Breastfeeding made me feel like a cow.","El amamantar me hizo sentir como una vaca."
"Rather less than I used to","Menos de lo que acostumbraba"
"Continue breast-feeding even if nipples are sore or cracked. Try to feed the baby from the less painful breast first","Continúe amamantando aún si los pezones están irritados o agrietados. Trate de alimentar al bebé con el pecho menos doloroso primero."
"Latch with nipple shield","Acoplamiento con protector de pezón"
"Hardly ever","Casi nunca"
"View/Edit Child Info","Ver/Editar Información del Bebé"
"Choose One","Escoja Uno"
"Repeat New Password","Repetir Nueva Contraseña"
"No pumping entries for date range","No hay datos de extracción para el rango de fechas"
"8 ounces","8 onzas"
"Infant Alertness","Estado de alerta del bebé"
"Super Administrator","Super Administrador"
"Login","Entrar"
"Side","Lado"
"A maximum of 500 letters per field.","Máximo 500 letras por espacio."
"Breastfeeding","Amamantamiento"
"Hand pump","Extracción manual"
"Total","Total"
"Make sure that your baby is latched on well, so that baby opens mouth wide.","Asegúrese que el bebé está correctamente acoplado, de tal modo que abra bien la boca."
"Yes, most of the time I haven't been able to cope at all","Sí, la mayoría del tiempo no he sido capaz de hacer frente a todo."
"Purdue University's Bindley Bioscience Center","Centro Bindley de Biociencia de la Universidad de Purdue"
"I can always be satisfied with my breastfeeding experience.","Siempre puedo estar satisfecha con mi experiencia de amamantar."
"Side:","Lado:"
"When_your_baby_is_born_a_little_early.pdf","When_your_baby_is_born_a_little_early_es.pdf"
"Household Income","Ingresos Familiares"
"Hospitalization during the first month","Hospitalización durante el primer mes"
"Pump every 3 hours.","Extraiga cada 3 horas."
"I have been so unhappy that I have had difficulty sleeping","He estado tan triste que he tenido dificultad para dormir"
"First primary care provider visit","Primera visita al doctor"
"You have chosen to delete the following accounts","Usted ha optado por borrar las siguientes cuentas"
"Partial breastfeeding, High: 50-80% breastfeeding","Lactancia Materna parcial, Alta: 50-80% amamantamiento"
"Full message","Mensaje completo"
"Add Hospital","Agregar Hospital"
"I can always finish feeding my baby on one breast before switching to the other breast.","Siempre puedo terminar de alimentar a mi bebé en un pecho antes de pasar al otro."
"Past Obstetrical History","Historia Médica de Otros Embarazos"
"Breastfeeding Entry","Entrada de amamantamiento"
"You did a great job of entering your breastfeeding data entries today! Keep up the great work!","¡Has hecho un gran trabajo de introducción de sus entradas de datos lactancia hoy! ¡Sigan con el buen trabajo!"
"Back to notifications","Regresar a notificaciones"
"No, not at all","No, para nada"
"Gestational Diabetes","Diabetis Gestacional"
"Notifications","Notificaciones"
"No health issue entries for date range","No hay datos de asutos de salud para el rango de fechas"
"Others","Otros"
"Difficult or trouble breathing","Dificultad respiratoria"
"new notifications","nuevas notificaciones"
"The thought of harming myself has occurred to me","Se me ha ocurrido hacerme daño"
"You have reported that your baby having a yellowish discoloration of the skin. Please do the following","Usted ha reportado que su bebé tiene una coloración amarillenta en la piel. Por favor haga lo siguiente"
"System Feedback","Comentarios acerca del sistema"
"I have looked forward with enjoyment to things","He anhelado el disfrutar cosas"
"How long are you planning to breastfeed your baby?","¿Cuánto tiempo planea amamantar a su bebé?"
"Left side","Lado izquierdo"
"Set","Fijar"
"Unread by Admin","No leído por el administrador"
"Questionnaires","Cuestionarios"
"Predominant breastfeeding (Give herbs, liquid, no formula)","Mayormente pecho (da té, líquidos, no fórmula)"
"Minutes","Minutos"
"My baby and I worked together to make breastfeeding go smoothly.","Mi bebé y yo trabajamos juntos para hacer fácil el amamantar."
"Right","Derecho"
"View Diary","Ver Diario"
"Do you give any other substances (supplementation) for your baby?","¿Le da otros alimentos a su bebé además de leche materna?"
"Yes, all of the time","Sí, todo el tiempo"
"I felt extremely close to my baby when I breastfed.","Me sentí muy cercana a mi bebé cuando lo amamantaba."
"Pump after each feeding if baby did you get enough.","Extraiga después de cada alimentación si el bebé no comió suficiente."
"Number of Doses","Número total de veces"
"Breastfeeding Followup","Lactancia Seguimiento"
"Sore Nipple","Pezón irritado"
"Fourth / More","Cuarto / Más"
"Great job!","¡Gran trabajo!"
"Breastfeed often (Every 1&frac12; to 3 hours for 8 to 12 feedings a day) to reduce engorgement.","Amamante con frecuencia (cada hora y media a 3 horas para un total de 8 a 12 alimentaciones por día) para reducir congestión mamaria."
"Please enter stool consistency","Por favor entre la cantidad de popóque hay en el pañal"
"Maternal Problems","Problemas Maternos"
"I can always keep wanting to breastfeed","Siempre puedo querer seguir amamantando."
"Baby is fussy and crying","Bebé es quisquilloso y llorón"
"Active alert","Activo alerta"
"Make sure that the baby is latching correctly.","Asegúrese que el bebé astá acoplándose correctamente."
"An error occurred when attempting to log your entry<br />","Un error ha ocurrido durante el proceso de su entrada "
"Formula","Fórmula"
"Skin-to-skin contact (remove all clothing from baby except diaper, place the baby on your bare chest. The baby will crawl to the breast and latch)","Contacto Piel-a-Piel (quítele toda la ropa al bebé -excepto por el pañal-, coloque al bebé en su pecho desnudo. El bebé se moverá al pecho y se acoplará"
"Breastfeeding Follow-up Survey Results","Resultados de Encuesta de Seguimiento del Amamantamiento"
"Health issue entry updated.","Entrada de Asunto de salud actualizada."
"Morbidities","Enfermedades"
"This action is irreversible. Are you sure you want to do this?","Esta acción es irreversible. ¿Está seguro que quiere hacer esto?"
"Pumping","Bombeo"
"Download All Of This Type","Bajar todo de este Tipo"
"Pumping entry not modified.","Entrada de extracción no modificada."
"TotalAmount","TotalAmount"
"July","Juli"
"I really enjoyed nursing.","Disfruté mucho el amamantar."
"System Feedback Survey Results","Resultados de Encuesta de Realimentación del Sistema"
"PM","PM"
"Pumping duration","Duración sacando la leche"
"Milk expression and pumping","Eyección de leche y extracción "
"Log In As Mother","Entrar como Madre"
"Race","Raza"
"Self Efficacy Survey","Encuesta de Autoeficacia"
"Close","Cerrar"
"If yes, what kind of supplement do you give?","Si le da otros alimentos a su bebé ¿Qué otros alimentos le da a su bebé además de leche materna? "
"March","Marzo"
"Tips for breastfeeding your premature baby","Consejos para amamantar a su bebé prematuro"
"This project is supported by grants from","Proyecto financiado por becas de"
"Yes quite often","Sí muy a menudo"
"Number of Diapers","Número de pañales"
"minutes","minutos"
"I could easily fit my baby's breastfeeding with my other activities.","Pude fácilmente acomodar la lactancia de mi bebé con mis otras actividades."
"Partial breastfeeding, Medium: 50%% breastfeeding","Lactancia Materna parcial, Media: 50%% amamantamiento"
"Reset Password","Cambiar la contraseña"
"Dehydration","Deshidratación"
"Skin-to-skin care for 30 min.","Cuidado Piel-a-Piel por 30 minutos."
"Amber Yellow","Amarillo ámbar"
"System Perception","Opinión del sistema"
"Yes","Sí"
"In this email you will find your temporary password. You will be asked to change it as soon as you log in.","En este correo usted encontrará una contraseña temporal. Se le pedirá que la cambie tan pronto como entre."
"Pump after each feeding (every 3 hours).","Extraiga después de cada alimentación (cada 3 horas)."
"Send postnatal depression survey","Enviar encuesta de depresión postparto"
"I think that I would like to use this system frequently","Creo que me gustaría usar este sistema seguido "
"Toxemia of Pregnancy","Toxemia de embarazo"
"Make sure that your baby is latching on and feeding well.","Asegúrese que su bebé está acoplándose y alimentando apropiadamente."
"Pumping method","Método para sacar la leche"
"Contact your lactation consultant if you have any question.","Contacte a su especialista en lactancia si tiene alguna pregunta."
"Method","Método"
"Double electric pump","Sacaleches eléctrico doble"
"Managing_your_milk_supply.pdf","Managing_your_milk_supply_es.pdf"
"Watery","Acuoso"
"Add Entry","Agregar entrada"
"Make sure that your baby is getting enough milk and gaining weight","Asegúrese que su bebé está recibiendo suficiente leche y ganando peso"
"If any of this information is incorrect","Si alguna de esta información es incorrecta"
"See Entries","Ver Entradas"
"Urine Saturation","Cantidad de orina"
"last %d days","últimos %d días"
"Phone","Teléfono"
"Spoon","Cuchara"
"Logout","Salir"
"Desktop site tutorials","Sitio de tutoriales para escritorio"
"Medical Information","Información Médica"
"> 10 ounces","> 10 onzas"
"Survey Results","Resultados de Encuesta"
"Mothers","Madres"
"Output entry updated.","Entrada de producción actualizada."
"While breastfeeding, I felt self-concious about my body.","Durante la lactancia, sentí auto-consciente sobre mi cuerpo."
"You did a great job of reading your notifications today! Keep it up!","¡Has hecho un gran trabajo de leer sus notificaciones hoy! ¡Sigue así!"
"Ideal breastfeeding during the first month is from 8 to 12 times per day. Feeding your baby less than 6 times per day will decrease your milk supply.","El amamantamiento ideal durante el primer mes es entre 8 y 12 veces por día. Amamantar a su bebé menos de 6 veces por día disminuirá su reserva de leche."
"Times of extra primary care on first month","Número de veces de cuidado médico adicional durante el primer mes"
"5 ounces","5 onzas"
"Log back in.","Volver a entrar."
"Action","Acción"
"Pasteurized human milk","Leche humana pasteurizada"
"Low birth weight infant","Bebé de bajo peso al nacer"
"Two times or less","Dos veces o menos"
"Supplement entry updated.","Entrada de suplemento actualizada."
"Supplement","Suplemento"
"3-6 months","3-6 meses"
"Need for extra primary care provider","Necesidad de proveedor adicional de cuidado médico"
"Unread by User","No leído por el usuario"
"Pump every 3 hours if baby does not latch.","Extraiga cada 3 horas si el bebé no se acopla."
"7-12 months","7-12 meses"
"First and Last name","Nombre y Apellido"
"January","Enero"
"Weight at discharge","Peso al salir"
"I have felt happy","Me he sentido feliz"
